BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
-0.5064978084196101,-0.6843941927223015,-0.6717892737296914,-0.6434015220138278,-0.6124987175642295,-0.5923046642891523,-0.30976952952339937,-0.22598576469862397,-0.28961475055310465,-0.3050154869344226,-0.3167722338302958,-0.10601344788912528
-0.29701322814348385,-0.26571598982844247,-0.2239556729940033,-0.45308351675004477,-0.4098837925119977,-0.3855774664194518,-0.28642741832001956,-0.20848743555719015,-0.28011155504603863,-0.29955670317351557,-0.31288172398211656,-0.3048400515016622
-0.7498638731176144,-0.786683081852395,-0.3926013947979723,-0.5534486008389482,-0.5517908840499001,-0.5394044769217237,-0.28642741832001956,0.9601581997036563,0.138029047264866,0.1316872139381421,-0.3343077202474513,-0.3207958864415683
-0.0915528854806842,-0.15756418602881267,-0.1197176774348765,-0.5744906973946092,-0.5449507684586,-0.526216350925321,-0.2622136100177583,-0.21536539152029707,-0.30591273084772286,-0.3050154869344226,-0.3167722338302958,-0.31478138168228903
3.490903686629183,4.187039182678046,4.735602178475928,6.547415125127158,6.1561065743722745,6.177427716585358,2.2802362617196748,1.0720598459857738,1.468476418254108,0.7451999208264865,0.40212632507238255,0.3299138805313619
-0.7208799212750047,-0.7362913914672574,-0.7723550638422841,-0.8042524256974,-0.8022287737119193,-0.7668368849223943,-0.2716085676390356,-0.27615438466481573,-0.3347549292116682,-0.343226973260772,-0.16239229231848923,-0.35126606344518957
-0.014997960560892037,-0.03527529153332808,-0.045107987935840574,-0.02595345587698171,-0.006186822434337114,-0.0021175655274117966,-0.237999801715497,-0.17541255908754355,-0.19458279548244448,-0.19583981171628143,-0.20400383243379722,-0.20542674969539373
2.1375443163691483,2.16149396364349,1.5980096859601123,0.1152980823213692,-0.743979332693406,2.0667346253550534,0.11833060126057983,0.06059573376416513,3.271232605944531,0.7321534276379186,10.655536837848315,2.130785842751915
-0.39888190579226546,-0.5171848455395556,-0.5348022241371394,-0.557858458073123,-0.6579934398691557,-0.8082030001697891,-0.237999801715497,-0.22473829229355066,-0.28961475055310465,-0.250427649325352,-0.3207191278791732,1.3237486586886278
-0.2895784196496548,-0.3443329019838321,-0.39024516741248283,-0.444195748929316,-0.3973026073863506,-0.3782080656667028,-0.28773496396834164,-0.2284807095087706,-0.2895672345755693,-0.2814335410873041,-0.3132764133870043,-0.3049891714543716
