AGE,0,1
21,13,0
22,195,47
23,389,82
24,423,83
25,482,102
26,587,78
27,648,97
28,646,96
29,745,91
30,652,90
31,524,76
32,539,65
33,522,72
34,526,76
35,505,85
36,468,78
37,479,76
38,429,58
39,451,64
40,388,67
41,356,61
42,346,76
43,310,46
44,318,55
45,289,42
46,253,38
47,198,37
48,205,30
49,184,44
50,171,35
51,143,31
52,115,24
53,142,27
54,99,17
55,99,20
56,87,16
57,60,7
58,47,12
59,37,4
60,20,10
61,17,8
62,18,2
63,10,1
64,14,3
65,11,1
66,10,5
67,7,0
68,3,1
69,8,0
70,4,1
71,2,0
73,6,1
74,10,0
75,2,0
79,1,0
80,2,0
