X1,X2,X3,X4,X5,X6,ID,SEX,AGE,EDUCATION,MARRIAGE,LIMIT_BAL,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,target
-1.7470444138413614,-0.2915166822790723,0.15943018085144045,0.007416718128589971,0.015556088517738344,0.1348556274335592,3,2,34,2,2,90000,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0
-1.1600858162825787,-0.6207448317992263,0.037582081930860115,0.3387818587277093,0.12126565511955358,0.020509363610936523,4,2,37,2,1,50000,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0
-1.436612820628474,0.4844117509917104,-1.5845122523549646,1.811382461125006,0.32245927533426555,-0.2725625503419942,5,1,57,2,1,50000,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0
-1.158244553982516,-0.6591108323755263,0.019634240750446313,0.3226768314484502,0.1594025217656937,0.07556165048808332,6,1,37,1,2,50000,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0
13.206633165509832,-0.8401073791278401,1.676501001859854,0.7380561781474648,-0.059379402214857005,-0.0868575718639219,7,1,29,1,2,500000,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0
-1.9481308831743216,-0.030476503591626458,-0.0875197398159645,-0.16101989976604908,0.06264522201332279,-0.09069388968478084,11,2,34,3,2,200000,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0
-0.12132417342177607,-0.3301487672215751,0.4462564520705006,-0.4004165610195651,-0.07730478341360554,-0.016896909343775243,15,1,29,1,2,250000,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0
4.874918137615599,4.989277885024895,-2.931272118384642,-5.298305098692995,3.3607434336852977,-4.4332666876427815,18,1,49,1,1,320000,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0
-1.4175353176923675,0.2648816334169187,-0.6295228532214312,-0.4555461395488168,-0.12016700426619573,1.1956955230430755,21,2,39,3,2,130000,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0
-1.307227752663493,-0.6572249747217314,1.3756463972106707,-0.33583652842763123,0.04876603326889885,0.048947613494205656,26,1,23,3,2,50000,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0
-1.780532936492231,-0.45867555102969476,0.6720096664060647,-0.017089343165878103,0.03465293969648935,-0.007268825461435582,28,2,30,3,2,50000,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0
-1.5725982865911918,-0.5221812403969845,0.39766579979629996,0.14020311354404544,0.06609053149493764,-0.003939622046843676,32,1,33,2,2,50000,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1
0.29869486366045567,-0.8012156263302034,0.5246569727678044,0.022089532720294406,0.027546539424095524,-0.05113518111698154,33,1,32,1,2,100000,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0
-0.12505962399193896,3.2112751633271954,-2.487185749235679,-0.4304653591884841,-2.6920886781488123,0.34771255106742227,34,2,54,2,1,500000,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0
3.6458357253264286,-0.9773200188858522,-0.3740336086677421,0.14525647899581406,-0.045457759505444076,-0.12229624127371078,37,1,40,2,1,280000,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0
7.948047243065205,2.2497450222170317,1.015229965824166,-0.6055173633940231,-5.84748642893173,-3.7674177390366586,41,1,33,1,2,360000,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0
-0.28525358614271584,-0.7038605684261101,1.2438536297202831,-0.23472571960926958,0.04969603603994039,-0.018514184180713104,42,2,25,1,2,70000,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0
-2.331663123813786,-0.4232602595158548,1.5092034449579275,-0.29886519134504835,0.132209992719009,0.04430905529443333,43,1,22,2,2,10000,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0
-0.14885528433906164,-0.47622098882451463,-0.07746074947384396,0.14424735640294273,-0.019146858803108506,-0.1343353076665424,44,2,37,2,1,140000,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0
-0.8184541999638363,1.7259918081577335,0.08692707353106231,-0.1950957252318487,-0.2105573267193531,-0.0698516519709982,49,1,32,2,2,380000,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0
-1.8354965538124652,-0.5628292435307937,1.31468479661366,-0.24358089345317582,0.07242320447749939,0.034863092126994503,50,1,24,1,2,20000,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0
-0.8807976646629704,-0.5348954224950018,-0.6383544032400796,0.5223745809538186,0.03695673215087338,-0.03861420110077709,52,2,43,3,3,100000,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0
-0.8467712533907602,-0.41660894478801125,0.9384335512199065,-0.46097557176044335,-0.045221681375075866,-0.03171499517419044,54,2,25,1,2,180000,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0
-1.3081405288736778,-0.29854748180424584,0.529594379341095,-0.3439523249651256,0.003657071140020064,0.15165820199586505,55,2,29,1,2,150000,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0
-1.7470553079881121,0.30495865773607905,0.007951335244524363,-0.12499539817292678,0.17159366338528376,-0.11694107082956769,57,2,34,3,1,180000,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0
2.796330859609296,-1.1565683406471516,0.37502169164389954,0.1133782333809616,0.113982810085379,0.024802572528410238,58,2,34,2,1,180000,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0
10.26838217166708,-1.6615910238309715,0.9677316434497709,-0.4529406365476227,-0.2939640185316277,0.23220611961463522,60,2,29,2,1,400000,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0
-1.1496636657545347,0.4365528627434012,-0.10063010234372628,-0.9102581826551271,-0.21524305311143233,-0.017063485802598935,61,2,28,3,1,500000,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1
-2.0599037723777887,0.06654776835077354,0.2713217055615911,-0.3834586253135385,0.02995165111913309,-0.11357737097243054,68,2,30,1,2,210000,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0
-1.9178553389274433,0.21972940101810218,0.18731323204568703,-0.10060151394609931,-0.05354912606549341,-0.00018608644907557904,73,2,32,2,1,200000,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0
-0.4110872139482298,2.608512434090228,0.21262135137762012,-0.791669138884751,-2.0669359682058013,-2.207865037231661,75,1,32,1,2,340000,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0
-1.6795143014131602,-0.5742815600501564,1.1387819160015633,-0.26611049168081313,0.13358058655903501,0.10862236997746418,77,1,25,3,2,50000,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0
-1.9380344906627958,0.1836081990273116,-1.3455794996097235,0.2662909741919184,-0.09128277699094901,-0.07165896035002875,78,2,45,1,1,300000,291,291,291,291,291,291,291,291,291,291,291,291,0
1.306475805383546,-0.316903004629648,-0.3358867284801936,-0.4491979729755223,0.14881055485106984,0.38229327499024285,81,2,33,3,3,470000,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0
0.5430312893969955,2.9400747504435105,1.1576379649562536,-0.5920837327570087,-5.536795222432314,-2.5430853836989993,82,2,26,1,2,360000,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
1.8394247703293485,-0.43578482494230264,-1.1660321798715858,0.17417721930691663,-0.10198378919948521,0.03628530416011098,84,2,44,2,1,400000,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0
-1.3972699401300812,-0.5332665866435411,-1.159205425139189,0.8682191730207995,0.09732289642094918,-0.008460885483179205,85,2,49,3,2,50000,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0
1.7652583268070137,0.5979934207658796,0.8677406500218696,0.8614240034685072,-1.1004731032080026,-0.3327805894594033,86,1,33,2,2,160000,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0
-0.8777466561133199,0.3693467652981636,0.3287954865295681,0.6013028823523887,0.16490994695771344,0.5785415468777458,89,2,35,1,1,130000,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0
2.5088040294022034,-0.8693836289052883,-1.5293630768656747,0.897643525214018,-0.030362081662274415,-0.19731494051142598,91,1,53,1,1,200000,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1
-1.4026363356552791,-0.646147493777347,1.3389856667308546,-0.3513413271817713,0.10964100433212148,0.10580583333233128,95,2,23,2,2,60000,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0
-0.5131222431727076,-0.7271778879637789,0.18492545022914,0.21012659487963128,0.1996700621972119,0.130630969668434,96,1,35,2,2,90000,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0
0.2744750785492468,-0.6351432285462324,0.9837039119276545,-0.08900339007465667,0.05046168040883955,0.039110458708316705,98,1,27,1,2,150000,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0
-1.992142455947786,-0.5113691635125359,1.4308017962476596,-0.3658290695371437,0.08007294123626126,0.07421529752124072,99,2,22,3,1,50000,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0
-1.0314813480026073,0.6626190948318621,0.1849085849007113,-0.27231152210222337,0.34013957631793634,0.006010628414155955,102,2,30,1,2,380000,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0
-1.3675655264420559,-0.6672466340870103,1.4655598310585907,-0.37803086155713667,0.08422942869206378,0.08255208112203907,104,2,22,3,2,50000,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1
-2.1640358257389725,-0.12099841594709654,0.03439969396141935,0.27440037921725374,0.06309552488442803,0.005333670804337477,107,2,36,2,1,80000,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0
-1.709248012413655,0.533071802575852,-2.1759930743970703,0.30084618824305537,-0.028413800807918724,-0.08535662808480354,108,1,52,1,2,350000,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0
-1.7942919742371064,-0.35265038077056593,-0.965298021840715,0.7949058759537234,0.08319228484248475,-0.052608560298387966,112,1,47,3,1,50000,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0
-0.5332031962073688,-0.5591424548395931,1.250965083102877,-0.37443073261280957,-0.08864586034866583,-0.11055645908311679,114,2,24,1,2,100000,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0
-1.7019892927916616,-0.4528680598811398,-0.38103162973103993,0.520749210303568,0.08482809730135042,-0.03219774114468678,115,1,41,2,2,50000,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0
-2.039795946475317,0.09741826614125883,0.45601863474444637,-0.3680166674552569,-0.1509200231374193,-0.008402307102533537,117,1,28,1,2,240000,326,326,326,5676,476,326,326,326,5676,476,326,526,0
-1.815821697955614,-0.3827611173966894,1.0010073065358829,-0.23396449030249272,0.04326975623055663,0.02026234733080686,118,1,26,2,2,80000,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1
-1.1954985014731905,1.2083595962656695,-0.328208391696864,-0.4043359902212864,-0.3624972007134714,-0.2398197939825372,119,1,34,2,1,400000,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,0
-1.0046909441412666,-0.17891281213807197,-0.45309709646323637,0.12032029214824429,0.0563951039482259,0.08280076564601377,120,2,38,2,2,240000,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0
6.471518893880215,-1.7120430455195275,0.29033751049448714,0.07925469311335942,0.0467676661203512,0.10040654523228457,124,2,35,2,1,310000,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1
1.1902381563869124,-0.66223422732191,-1.5655876782448104,0.7835898115048445,-0.03914832943388121,-0.1598486855770701,127,1,52,3,2,200000,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0
1.2567410056183166,-1.0197288589120768,0.009767133920655304,0.10801420094090602,-0.012401631195503224,-0.03600637053036974,128,1,36,1,1,180000,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,1
-2.098432860930193,-0.24305468654910792,-1.3715859973904785,0.9773222036110172,0.06782774274810546,-0.12113306857520607,129,1,51,2,1,50000,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1
